ISIN,NAME,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
BE0974320526,,3916023.0,3091525.0,3579065.0,3023374.0,3405179.0,5818838.0,9273800.0,7937373.0,11437199.0,12317735.0,11740694.0,9679014.0,13380480.0,19074437.0,17185931.0,13273662.0,10014315.0,10570943.0,11286300.0,14859515.0,15730565.0,19334245.0,24911192.0,27173507.0,27828258.0,19731807.0,15320631.0
BE0974338700,,,,,,,,,,,,,,,,,,1314007.0,1523689.0,1630937.0,1872856.0,1708866.0,1780023.0,1933022.0,1936953.0,2496896.0,2751380.0,2727160.0
BMG850801025,,1844201.0,1635578.0,2285081.0,2573121.0,3267628.0,3348942.0,2053738.0,1580703.0,1630210.0,1906517.0,1734131.0,1649502.0,1865313.0,1907598.0,2201783.0,2141283.0,1817683.0,1942414.0,1836390.0,2203739.0,2061144.0,2011660.0,2064873.0,2076005.0,2865435.0,2823332.0,2749119.0
CH0000816824,,2576467.0,1744695.0,1995003.0,1237926.0,1089728.0,1276777.0,1551919.0,1247900.0,1838328.0,5201255.0,4079535.0,2723103.0,3840221.0,4572494.0,3218453.0,3193621.0,3477624.0,2617460.0,2356288.0,3054735.0,2624636.0,2684487.0,2512299.0,2881717.0,3197832.0,3111089.0,2601653.0
CH0008038389,,,,26290.0,48128.0,72520.0,87555.0,109954.0,150700.0,155691.0,189332.0,180047.0,277839.0,634304.0,709476.0,656405.0,859524.0,919838.0,991544.0,1066706.0,1231626.0,1231188.0,1315033.0,899422.0,839833.0,897830.0,770538.0,734747.0
CH0008742519,,7422864.0,6734969.0,8558775.0,8249350.0,10623751.0,11563158.0,8436566.0,7566708.0,7745694.0,10246351.0,10476247.0,11359042.0,12784384.0,12537730.0,12608006.0,12665924.0,12658985.0,11443915.0,11769311.0,12512934.0,11784204.0,11857087.0,12350098.0,12165436.0,12215302.0,12790931.0,12104488.0
CH0010570759,,953669.0,869089.0,933370.0,925855.0,1229052.0,1427849.0,1691675.0,1746983.0,2074719.0,2722319.0,2522699.0,2389743.0,2750648.0,2720973.0,2956524.0,3193067.0,3661944.0,3580070.0,3943220.0,4386716.0,4339050.0,4668087.0,4469178.0,4988340.0,5463687.0,6008688.0,5997951.0
CH0010645932,,1495784.0,1346390.0,1430815.0,1396232.0,1955659.0,2153074.0,2248185.0,2159917.0,2334220.0,3818011.0,3510118.0,3747225.0,4520604.0,4280563.0,4714712.0,4839726.0,4763750.0,4307883.0,4713587.0,5419553.0,5560124.0,6421855.0,7033993.0,7271195.0,7823641.0,7988556.0,8129618.0
CH0011075394,,40674437.0,36434242.0,38495920.0,38548547.0,47930276.0,55364003.0,62090056.0,64943235.0,65366356.0,52789062.0,29967478.0,59155791.0,63732327.0,54349476.0,62158564.0,73727933.0,72294918.0,57180971.0,67288000.0,67372911.0,46389446.0,74119349.0,61197191.0,69727297.0,44069661.0,69563841.0,71420217.0
CH0011432447,,,,,,149.0,301.0,241.0,23710.0,5764.0,7300.0,10134.0,25082.0,123919.0,72928.0,64125.0,45834.0,46116.0,51766.0,66700.0,108929.0,133349.0,139122.0,142003.0,161135.0,162436.0,182107.0,228734.0
